economy_type,climate_risk_tier,n_countries,n_observations,output_growth_median,output_growth_p25,output_growth_p75,debt_to_gdp_median,debt_to_gdp_p25,debt_to_gdp_p75,primary_balance_median,primary_balance_p25,primary_balance_p75,interest_rate_median,interest_rate_p25,interest_rate_p75,climate_shock_median,climate_shock_p25,climate_shock_p75,adaptation_capital_median,adaptation_capital_p25,adaptation_capital_p75,risk_premium_median,risk_premium_p25,risk_premium_p75
Advanced,Low,43,1075,2.4824322040037705,0.9865009097087651,4.197364230291701,45.498285,26.4004,75.8763745,-0.155,-14.881,7.6055,-82.42172798031203,-99.0578750640367,-57.67397879457917,0.015866514077113328,0.0,0.10840600378076898,0.584047828825662,0.5055919221097456,0.6789720999026597,-84.98528865259401,-101.6005682854237,-60.40412423069756
Advanced,Medium,14,350,3.632943400851985,1.3328411324535328,5.697648140280731,42.450095000000005,21.60339175,83.00138375,-0.097,-2.391,0.775,-95.60748259823009,-101.95508659726634,-76.93168466138142,0.0,0.0,0.07824437348599583,0.44875977253412047,0.4061428011528475,0.48698282653206004,-97.0294612292202,-105.86264478800574,-81.1454712802921
Advanced,High,2,46,1.401158225363175,-1.678876678876684,4.381465223900916,0.072,0.057,0.12,,,,,,,0.0,0.0,0.0,0.462671721229553,0.42772970602775623,0.5275069174705338,,,
Emerging Market,Low,14,350,3.892074734591311,1.6994192994565613,5.9617348417129845,38.8606645,21.20651075,54.041019000000006,-0.334,-41.41575,3.5415,-99.80719125631313,-260.39473633784536,-80.81923848457944,0.006659226302164284,0.0,0.13972742353496395,0.40218991669875004,0.3434962775835215,0.453656061836979,-101.41155490772078,-259.8391699415806,-85.35001261888941
Emerging Market,Medium,34,850,3.4609916255792683,1.085630672865373,5.843842295941936,43.318437,26.4664575,70.62297025,-0.0465,-10.18675,5.963,-89.4342155989936,-111.16507784738279,-49.22446926063557,0.019798759290200717,0.0,0.24429460112600515,0.371792728577384,0.32880893208672823,0.4315213729717435,-93.14888451779568,-115.43719304447393,-53.795374423735225
Emerging Market,High,5,125,2.3728813559322104,-0.4587155963302725,5.660377358490565,39.2237435,11.5151725,49.387572,0.001,-0.3165,0.01,-95.33081874044396,-118.41749999999999,-67.36274634452346,0.0,0.0,0.19954968651953467,0.4150512129924895,0.374708479428823,0.43871385549713826,-97.57402339181287,-122.14573427247963,-70.48408219702127
Developing,Low,5,125,5.507112560233152,3.103103103103111,7.364341085271331,60.458302,47.065933,97.878558,-0.954,-13.606,0.331,-83.35499219435772,-170.27809959036102,-53.709723523842264,0.0,0.0,0.06673620286561319,0.355763957614064,0.3099517388058045,0.39435766083921725,-87.29111374040882,-173.49811707690745,-57.3903449545057
Developing,Medium,13,308,4.220353582108494,2.6838454353730223,6.0427502417997605,56.728241,35.45345725,135.759545,-2.1105,-20.985999999999997,2.96175,-98.58014077788867,-153.8067063834497,-63.984732630074504,0.0019657581014246696,0.0,0.2188571558571782,0.328273906050639,0.29818049384656126,0.3610915120862602,-101.64396929679674,-156.88938080941935,-68.0510045195156
Developing,High,55,1356,4.479704227490333,2.076373236876561,6.527926983552335,48.124919,30.197581,75.881285,-6.397,-199.649,0.098,-89.81682738999415,-155.82007613857866,-48.20753903778652,0.0,0.0,0.0696213123924872,0.289909403115295,0.259941805717956,0.325966602213015,-94.35202151634947,-160.11256376238975,-52.89324891880433
