economy_type,climate_risk_tier,n_countries,n_observations,output_growth_median,output_growth_mean,output_growth_std,output_growth_p25,output_growth_p75,output_growth_min,output_growth_max,debt_to_gdp_median,debt_to_gdp_mean,debt_to_gdp_std,debt_to_gdp_p25,debt_to_gdp_p75,debt_to_gdp_min,debt_to_gdp_max,primary_balance_median,primary_balance_mean,primary_balance_std,primary_balance_p25,primary_balance_p75,primary_balance_min,primary_balance_max,interest_rate_median,interest_rate_mean,interest_rate_std,interest_rate_p25,interest_rate_p75,interest_rate_min,interest_rate_max,climate_shock_median,climate_shock_mean,climate_shock_std,climate_shock_p25,climate_shock_p75,climate_shock_min,climate_shock_max,adaptation_capital_median,adaptation_capital_mean,adaptation_capital_std,adaptation_capital_p25,adaptation_capital_p75,adaptation_capital_min,adaptation_capital_max,risk_premium_median,risk_premium_mean,risk_premium_std,risk_premium_p25,risk_premium_p75,risk_premium_min,risk_premium_max
Advanced,Low,44,1100,2.4806764729968345,2.515848407219012,3.8988729660094537,0.9529006730346956,4.218885876252104,-15.05791505791506,28.08283947500012,45.1477735,173.97035906077275,1894.8806888078764,26.23542925,76.4013195,0.82097685,38959.67,-0.106,-556.3813521383074,5259.706616111095,-13.9725,7.0504999999999995,-52647.73,40776.27,5.821731196720524,18.649011126931132,25.958959157883648,-0.5241612347379635,35.859118025129625,-19.389021393903977,84.5188956117279,0.014493369474851851,0.09111298490661945,0.16920626870006547,0.0,0.10707135336202604,0.0,1.7810763186208038,0.5761736787509175,0.5836081271988182,0.10414774501273408,0.5052054401204863,0.676715766352071,0.324105488980295,0.797306584715247,4.841111897976313,16.121858807696924,26.49937132199966,-3.0115587157712107,33.02894918575983,-25.602288145788673,91.89867971378874
Advanced,Medium,14,350,3.6329434008519854,3.809942007451642,6.537049401397453,1.3328411324535328,5.697648140280731,-21.422257934913624,62.288373541202176,42.450095000000005,65.67321328542856,84.04963355090057,21.60339175,83.00138375,0.0,629.023,-0.097,-16.163541538461537,192.04526674787218,-2.391,0.775,-1368.29,927.391,-0.3289211712716861,3.313059631214423,12.530555977778787,-1.868927693615707,3.5041384872135595,-36.63917842268036,75.73500626332113,0.0,0.6826638966825164,2.6364418878113787,0.0,0.0782443734859958,0.0,20.323469276955315,0.44875977253412047,0.4610408371925723,0.09977116010222756,0.4061428011528475,0.48698282653206004,0.289200261973306,0.80720201180239,-2.7924758079555168,-0.4918316979295153,12.666406917443393,-6.286507562611785,2.6967982787269507,-34.539982521449296,70.69539298396296
Advanced,High,2,46,1.401158225363175,1.887782477526091,7.758378405136742,-1.678876678876684,4.381465223900916,-22.07792207792209,24.35897435897436,0.072,0.09226829268292681,0.04765869510920537,0.057,0.12,0.043,0.247,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462671721229553,0.4753771338202987,0.057499162485602065,0.42772970602775623,0.5275069174705338,0.389832410876582,0.577583840077097,,,,,,,
Emerging Market,Low,14,350,3.892074734591311,3.895397834078167,5.254711239424472,1.6994192994565613,5.9617348417129845,-28.75861803335517,20.39022298456261,38.8606645,60.81823398547264,387.2097576497164,21.20651075,54.041019000000006,4.0470442,7209.49,-0.334,-161.75217834394903,1172.5739262024986,-41.41575,3.5415,-11164.98,4213.59,0.34312446777484684,8.953115497713817,24.14006255909351,-3.0513941748182694,15.732497289626636,-61.02241406635042,84.5188956117279,0.00665922630216425,0.2708595450205266,1.0769133219322793,0.0,0.13972742353496392,0.0,12.818409437167702,0.40218991669875004,0.3914527834360379,0.07501054565452264,0.3434962775835215,0.453656061836979,0.208356690364067,0.52562660004887,-1.1861335317520736,5.558087210704102,24.448780870012705,-6.4719198667239715,13.374017375216669,-65.73841719459007,84.54568342689197
Emerging Market,Medium,34,850,3.4609916255792688,2.150878768205705,37.67873135888458,1.085630672865373,5.843842295941936,-389.94787788533137,700.0,43.318437,2196.717336622828,33452.825429945195,26.4664575,70.62297025,0.48808587,939054.36,-0.0465,-17133.27224407583,169236.317434398,-10.18675,5.963,-2751010.33,102827.3,-0.6786850872725531,5.063238313661675,26.757357392956994,-3.437708543380758,3.439588451017098,-79.7007061113392,84.5188956117279,0.0197987592902007,1.355919736571088,7.706170119816653,0.0,0.2442946011260051,0.0,88.06415745784805,0.371792728577384,0.3811033755937892,0.07971522033381755,0.32880893208672823,0.4315213729717435,0.182375806267089,0.609035901534904,-3.5019218667417102,3.2009674527128,53.937194972644974,-8.38230963885065,6.458500200498778,-779.7007061113392,362.95080443187095
Emerging Market,High,5,125,2.3728813559322104,2.652925164611596,6.642236149248641,-0.4587155963302725,5.660377358490565,-32.90909297335346,37.68805103819404,39.2237435,35.309859698333334,28.966807255407424,11.5151725,49.387572,0.031,155.66508,0.001,-0.9370526315789475,2.5062085561636094,-0.3165,0.01,-13.526,0.082,-2.284546351417612,-2.4762895297847556,6.7639342485379865,-6.109926865560775,0.45720109760980504,-11.75413018292844,41.24814757419984,0.0,1.1186252925474516,3.342330920412785,0.0,0.1995496865195346,0.0,25.0892749949856,0.4150512129924895,0.4352623123544074,0.07964208597618995,0.374708479428823,0.43871385549713826,0.33422978622227,0.635732537656899,-5.9086246844365995,-5.329374371465583,10.34853190154804,-9.829141192183112,-2.0227233343361535,-36.20094716737181,42.37174307981782
Developing,Low,5,125,5.507112560233152,5.168968933339876,3.0232495852254013,3.103103103103111,7.364341085271331,-7.177953428754536,10.916009083383326,60.458302,16681.298650064,69508.46973574407,47.065933,97.878558,2.013,487921.94,-0.954,-1143.434696,7218.779249911069,-13.606,0.331,-44471.16,7396.34,-2.192080083531608,4.3212427053561875,19.97980040697789,-6.506822003128763,8.945218219360015,-37.07051242726674,50.64872529216916,0.0,0.5754073675367861,1.7491827818808932,0.0,0.0667362028656131,0.0,12.06611868248726,0.355763957614064,0.34715355819306776,0.05486620289660549,0.3099517388058045,0.39435766083921725,0.231099421714955,0.430895894579337,-6.499687613370281,-0.7608940379584243,21.207801335004955,-13.846074435124663,5.579574797188174,-46.40384576060009,47.85635323534877
Developing,Medium,13,308,4.220353582108494,3.903832549041234,3.5687429257976526,2.6838454353730223,6.0427502417997605,-24.59676881877353,13.949651391771775,56.728241,38030.05317127273,352513.5879396328,35.45345725,135.759545,10.486661,3815418.73,-2.1105,-4158.873457792208,29414.30973893845,-20.985999999999997,2.96175,-212725.97,160625.88,-0.5710817581684711,1.06536425304973,11.68868883509068,-3.47258320235418,3.1010507684660458,-32.53285116413755,83.71839002925661,0.0019657581014246,0.24688883237658046,0.46798794700296953,0.0,0.2188571558571782,0.0,1.997281245413269,0.328273906050639,0.33213879054068246,0.04379377699249818,0.29818049384656126,0.3610915120862602,0.257099943055311,0.437828444914891,-4.496741872563247,-2.814828302939233,11.990424388994354,-7.984144120983611,-0.5972221563378939,-36.360183939279416,75.30064273798962
Developing,High,56,1370,4.455089319448002,4.028816709482962,5.456641228454834,1.9826580216328715,6.512541410697986,-50.31907800742928,58.078100510636,48.15201,1216.5775075001475,6766.084191551893,30.304903,75.814425,0.0,98630.23,-6.145,-293.0445425610659,1269.359219714432,-190.101,0.107,-14406.53,12662.35,-1.3116663158587218,4.202052570531945,27.51542140433414,-6.888209625101528,7.168984978909595,-79.7007061113392,84.5188956117279,0.0,0.257489932628943,1.1777925835436838,0.0,0.069553479043022,0.0,15.726857414729963,0.289909403115295,0.2958109546834837,0.06482230804169323,0.259941805717956,0.325966602213015,0.114829052881759,0.502061638193549,-4.940024213934487,0.3755756003239567,27.248884638373486,-11.583978017861954,4.5447674825758835,-93.36631006872233,89.2633251833885
