iso3,year,economy_type,climate_risk_tier,state_output_growth,state_debt_to_gdp,state_primary_balance,state_interest_rate,state_climate_shock,state_adaptation_capital,state_risk_premium,gdp_growth,gdp_growth_UNCORRECTED,debt_to_gdp,weo_primary_balance,real_interest_rate_winsorised,climate_damage_gdp_pct_5yr,ndgain_readiness,r_minus_g_corrected,is_projection
BLR,2026,Emerging Market,Low,-0.3409745915050894,1.9886526149487216,0.4508867220731627,-0.1891341196048367,-0.0553817181865857,,-0.11368162326730098,1.919013553080396,1.919013553080396,112.322,5.141,-2.498449046599318,0.0,,-4.417462599679714,True
BLR,2027,Emerging Market,Low,-0.46532374755756195,2.169413475006301,0.4051654560129136,-0.1958773803589498,-0.0553817181865857,,-0.06100046695004634,1.383839655261765,1.383839655261765,118.875,4.617,-2.550721125035835,0.0,,-3.9345607802975997,True
BLR,2028,Emerging Market,Low,-0.5284252569138388,2.314728324813004,0.3843116724472656,-0.1504843463283677,-0.0553817181865857,,0.007013690456466141,1.1122633792942205,1.1122633792942205,124.143,4.378,-2.1988456271365826,0.0,,-3.311109006430803,True
BLR,2029,Emerging Market,Low,-0.5812794357221341,2.440761648420981,0.3822175686582466,-0.1334255371134633,,,0.046255435561601776,0.8847895645390791,0.8847895645390791,128.712,4.354,-2.0666099853854982,,,-2.9513995499245773,True
BLZ,1990,Emerging Market,Medium,1.8192793901843924,-0.2821274844308572,,,,,,11.216314639475588,11.216314639475588,30.00096,,,,,,False
BLZ,1991,Emerging Market,Medium,1.8912049153010917,-0.2563860400977957,,,,,,11.525867714472838,11.525867714472838,30.934147,,,,,,False
BLZ,1992,Emerging Market,Medium,2.0101028718506435,-0.2537680281235541,,,,,,12.0375807398708,12.0375807398708,31.029056,,,,,,False
BLZ,1993,Emerging Market,Medium,0.6622978006954661,-0.2638964566044151,,,,,,6.236897274633146,6.236897274633146,30.661877,,,,,,False
BLZ,1994,Emerging Market,Medium,-0.7524740988522646,-0.2421156694618994,,,,,,0.1480019733596238,0.1480019733596238,31.451481,,,,,,False
BLZ,1995,Emerging Market,Medium,-0.6380654099470329,-0.1250002310197166,,,,-0.0146370017488102,,0.64039408866996,0.64039408866996,35.697187,,,,0.373418823280609,,False
BLZ,1996,Emerging Market,Medium,-0.5366541723864919,-0.0517114533672426,0.0017014593285779,-0.6879818880270855,,0.0701948439808339,-0.4436633958155678,1.076847772883016,1.076847772883016,38.354075,-0.007,-6.365392744860386,,0.381693369662483,-7.442240517743402,False
BLZ,1997,Emerging Market,Medium,0.045781660151223424,-0.0227527801878152,0.0017014593285779,0.0090680320265073,,0.0312006707528208,-0.12765727641493949,3.583535108958835,3.583535108958835,39.403894,-0.007,-0.9620353152987072,,0.377889855873259,-4.5455704242575425,False
