economy_type,climate_risk_tier,n_countries,n_observations,output_growth_median,output_growth_mean,output_growth_std,output_growth_p25,output_growth_p75,output_growth_min,output_growth_max,debt_to_gdp_median,debt_to_gdp_mean,debt_to_gdp_std,debt_to_gdp_p25,debt_to_gdp_p75,debt_to_gdp_min,debt_to_gdp_max,primary_balance_median,primary_balance_mean,primary_balance_std,primary_balance_p25,primary_balance_p75,primary_balance_min,primary_balance_max,interest_rate_median,interest_rate_mean,interest_rate_std,interest_rate_p25,interest_rate_p75,interest_rate_min,interest_rate_max,climate_shock_median,climate_shock_mean,climate_shock_std,climate_shock_p25,climate_shock_p75,climate_shock_min,climate_shock_max,adaptation_capital_median,adaptation_capital_mean,adaptation_capital_std,adaptation_capital_p25,adaptation_capital_p75,adaptation_capital_min,adaptation_capital_max,risk_premium_median,risk_premium_mean,risk_premium_std,risk_premium_p25,risk_premium_p75,risk_premium_min,risk_premium_max,profile_name,stock_flow_mean,stock_flow_median,stock_flow_std,growth_ar1_coef,growth_shock_std_corrected,climate_fiscal_cost,sparse_cell,gdp_growth_median_corrected,r_minus_g_median_corrected
Advanced,Low,44,1100,2.4806764729968345,2.515848407219012,3.8988729660094537,0.9529006730346956,4.218885876252104,-15.05791506,28.08283947500012,45.1477735,173.97035906077275,1894.8806888078764,26.23542925,76.4013195,0.82097685,38959.67,-0.106,-556.3813521,5259.706616111095,-13.9725,7.0505,-52647.73,40776.27,5.821731196720524,18.64901112693113,25.958959157883648,-0.524161235,35.859118025129625,-19.38902139,84.51889561,0.014493369,0.091112985,0.1692062687000654,0,0.107071353,0,1.7810763186208038,0.5761736787509175,0.5836081271988182,0.104147745,0.5052054401204863,0.676715766,0.324105489,0.797306585,4.841111897976313,16.121858807696924,26.49937132199966,-3.011558716,33.02894918575983,-25.60228815,91.89867971378874,Advanced_Low,-1.456,0.209,18.24,0.3753,3.8298,-1.569,FALSE,2.432,0.979
Advanced,Medium,14,350,3.6329434008519854,3.809942007451642,6.537049401397453,1.3328411324535328,5.697648140280731,-21.42225793,62.288373541202176,42.450095000000005,65.67321328542856,84.04963355090057,21.60339175,83.00138375,0,629.023,-0.097,-16.16354154,192.04526674787215,-2.391,0.775,-1368.29,927.391,-0.328921171,3.313059631214423,12.530555977778787,-1.868927694,3.5041384872135595,-36.63917842,75.73500626332113,0,0.6826638966825164,2.6364418878113787,0,0.078244373,0,20.323469276955315,0.4487597725341204,0.4610408371925723,0.09977116,0.4061428011528475,0.486982827,0.289200262,0.807202012,-2.792475808,-0.491831698,12.666406917443393,-6.286507563,2.6967982787269507,-34.53998252,70.69539298396296,Advanced_Medium,2.517,1.603,15.277,0.4018,4.6106,-1.569,FALSE,3.517,-3.071
Advanced,High,2,46,1.401158225363175,1.887782477526091,7.758378405136742,-1.678876679,4.381465223900916,-22.07792208,24.35897435897436,0.072,0.092268293,0.047658695,0.057,0.12,0.043,0.247,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.462671721,0.4753771338202987,0.057499162,0.4277297060277562,0.5275069174705338,0.389832411,0.57758384,,,,,,,,Advanced_High,0,,2,-0.0182,7.0468,-1.569,TRUE,1.426,
Emerging Market,Low,14,350,3.892074734591311,3.895397834078167,5.254711239424472,1.6994192994565611,5.9617348417129845,-28.75861803,20.39022298456261,38.8606645,60.81823398547264,387.2097576497164,21.20651075,54.041019000000006,4.0470442,7209.49,-0.334,-161.7521783,1172.5739262024986,-41.41575,3.5415,-11164.98,4213.59,0.3431244677748468,8.953115497713817,24.14006255909351,-3.051394175,15.732497289626636,-61.02241407,84.51889561,0.006659226,0.2708595450205266,1.0769133219322793,0,0.1397274235349639,0,12.818409437167702,0.402189917,0.3914527834360379,0.075010546,0.3434962775835215,0.453656062,0.20835669,0.5256266,-1.186133532,5.558087210704102,24.448780870012705,-6.471919867,13.374017375216669,-65.73841719,84.54568342689197,Emerging_Market_Low,1.111,1.399,19.244,0.5177,4.9198,0.547,FALSE,3.456,-2.361
Emerging Market,Medium,34,850,3.4609916255792688,2.150878768205705,37.67873135888458,1.085630672865373,5.843842295941936,-389.9478779,700,43.318437,2196.717336622828,33452.825429945195,26.4664575,70.62297025,0.48808587,939054.36,-0.0465,-17133.27224,169236.3174,-10.18675,5.963,-2751010.33,102827.3,-0.678685087,5.063238313661675,26.757357392956997,-3.437708543,3.439588451017098,-79.70070611,84.51889561,0.019798759,1.355919736571088,7.706170119816653,0,0.2442946011260051,0,88.06415745784805,0.371792729,0.3811033755937892,0.07971522,0.3288089320867282,0.4315213729717435,0.182375806,0.609035902,-3.501921867,3.200967453,53.937194972644974,-8.382309639,6.458500200498778,-779.7007061,362.95080443187095,Emerging_Market_Medium,5.815,3.139,16.435,0.3535,7.1629,0.547,FALSE,3.401,-3.621
Emerging Market,High,5,125,2.3728813559322104,2.652925164611596,6.642236149248641,-0.458715596,5.660377358490565,-32.90909297,37.68805103819404,39.2237435,35.309859698333334,28.966807255407424,11.5151725,49.387572,0.031,155.66508,0.001,-0.937052632,2.5062085561636094,-0.3165,0.01,-13.526,0.082,-2.284546351,-2.47628953,6.7639342485379865,-6.109926866,0.457201098,-11.75413018,41.24814757419984,0,1.1186252925474516,3.342330920412785,0,0.1995496865195346,0,25.08927499,0.4150512129924895,0.4352623123544074,0.079642086,0.374708479,0.4387138554971382,0.334229786,0.635732538,-5.908624684,-5.329374371,10.34853190154804,-9.829141192,-2.022723334,-36.20094717,42.37174307981782,Emerging_Market_High,2.809,1.1,6.674,-0.0503,5.5489,0.547,TRUE,2.439,-5.05
Developing,Low,5,125,5.507112560233152,5.168968933339876,3.0232495852254013,3.103103103103111,7.364341085271331,-7.177953429,10.916009083383326,60.458302,16681.29865,69508.46973574407,47.065933,97.878558,2.013,487921.94,-0.954,-1143.434696,7218.779249911069,-13.606,0.331,-44471.16,7396.34,-2.192080084,4.321242705356188,19.97980040697789,-6.506822003,8.945218219360015,-37.07051243,50.64872529216916,0,0.5754073675367861,1.7491827818808932,0,0.066736203,0,12.06611868248726,0.355763958,0.3471535581930677,0.054866203,0.3099517388058045,0.3943576608392172,0.231099422,0.430895895,-6.499687613,-0.760894038,21.207801335004955,-13.84607444,5.579574797188174,-46.40384576,47.85635323534877,Developing_Low,3.537,2.355,17.609,0.4705,4.9142,-0.489,TRUE,4.362,-6.516
Developing,Medium,13,308,4.220353582108494,3.903832549041234,3.5687429257976526,2.6838454353730223,6.0427502417997605,-24.59676882,13.949651391771775,56.728241,38030.05317127273,352513.5879396328,35.45345725,135.759545,10.486661,3815418.73,-2.1105,-4158.873458,29414.30973893845,-20.986,2.96175,-212725.97,160625.88,-0.571081758,1.065364253,11.68868883509068,-3.472583202,3.1010507684660458,-32.53285116,83.71839002925661,0.001965758,0.2468888323765804,0.4679879470029695,0,0.2188571558571782,0,1.997281245413269,0.328273906,0.3321387905406824,0.043793777,0.2981804938465612,0.3610915120862602,0.257099943,0.437828445,-4.496741873,-2.814828303,11.990424388994354,-7.984144121,-0.597222156,-36.36018394,75.30064273798962,Developing_Medium,7.84,3.793,17.063,0.1799,3.5335,-0.489,FALSE,4.231,-4.915
Developing,High,56,1370,4.455089319448002,4.028816709482962,5.456641228454834,1.9826580216328715,6.512541410697986,-50.31907801,58.07810051,48.15201,1216.5775075001477,6766.084191551893,30.304903,75.814425,0,98630.23,-6.145,-293.0445426,1269.359219714432,-190.101,0.107,-14406.53,12662.35,-1.311666316,4.202052570531945,27.51542140433414,-6.888209625,7.168984978909595,-79.70070611,84.51889561,0,0.257489933,1.1777925835436838,0,0.069553479,0,15.726857414729963,0.289909403,0.2958109546834837,0.064822308,0.259941806,0.325966602,0.114829053,0.502061638,-4.940024214,0.3755756003239567,27.24888463837349,-11.58397802,4.544767482575884,-93.36631007,89.26332518,Developing_High,4.444,3.26,21.039,0.2649,4.9247,-0.489,FALSE,4.324,-4.931
