iso,year,Current account balance,Employment,General government gross debt,General government net debt,General government net lending/borrowing,General government primary net lending/borrowing,General government revenue,General government structural balance,General government total expenditure,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Gross domestic product corresponding to fiscal year, current prices","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices","Gross domestic product, constant prices","Gross domestic product, current prices","Gross domestic product, deflator",Gross national savings,Implied PPP conversion rate,"Inflation, average consumer prices","Inflation, end of period consumer prices",Output gap in percent of potential GDP,Population,Total investment,Unemployment rate,Volume of Imports of goods,Volume of exports of goods,Volume of exports of goods and services,Volume of imports of goods and services
ABW,1986,,,,,,,,,,0.003,0.726,27497.49,11925.2,1.674,0.726,43.368,,1.066,37.995,38.43,,0.061,,,,,,
ABW,1987,,,,,,,,,,0.004,0.873,32281.14,14503.78,1.943,0.873,44.93,,1.078,39.378,39.77,,0.06,,,,,,
ABW,1988,,,,,,,,,,0.004,1.068,38081.84,17640.42,2.305,1.068,46.322,,1.073,40.607,41.34,,0.061,,,,,,
ABW,1989,,,,,,,,,,0.005,1.245,41823.37,20148.53,2.583,1.245,48.175,,1.074,42.227,43.12,,0.062,,,,,,
ABW,1990,,,,,,,,,,0.005,1.369,41829.59,21320.31,2.686,1.369,50.969,,1.095,44.692,46.18,,0.064,,,,,,
ABW,1991,,,,,,,,,,0.005,1.561,43510.71,23419.09,2.9,1.561,53.824,,1.119,47.173,47.9,,0.067,,6.078,,,,
ABW,1992,,,,,,,,,,0.005,1.716,44501.38,24862.5,3.071,1.716,55.869,,1.135,48.999,50.04,,0.069,,6.431,,,,
ABW,1993,,,,,,,,,,0.005,1.939,44718.96,26308.21,3.295,1.939,58.83,,1.168,51.557,53.25,,0.074,,6.029,,,,
ABW,1994,,,,,,,,,,0.005,2.23,45950.49,28738.6,3.566,2.23,62.543,,1.216,54.797,55.74,,0.078,,5.071,,,,
ABW,1995,,,1.302,,-0.02,0.008,0.603,,0.622,0.005,2.364,45796.78,29618.45,3.655,2.364,64.674,29.56,1.231,56.667,57.48,,0.08,,6.003,,,,
ABW,1996,,,1.353,,-0.058,-0.027,0.62,,0.678,0.005,2.47,44575.73,29751.33,3.701,2.47,66.743,26.397,1.248,58.463,59.26,,0.083,,7.197,,,,
ABW,1997,,,1.4,,-0.058,-0.023,0.628,,0.685,0.005,2.742,45891.08,31774.42,3.96,2.742,69.239,26.537,1.273,60.22,60.91,,0.086,,6.209,,,,
ABW,1998,,,1.223,,0.003,0.043,0.646,,0.643,0.005,2.981,45666.21,33696.77,4.039,2.981,73.789,27.714,1.341,61.343,61.76,,0.088,,3.25,,,,
ABW,1999,-0.435,,1.212,,0.003,0.047,0.706,,0.703,0.005,3.084,45668.72,34394.87,4.095,3.084,75.314,26.185,1.35,62.738,64.06,,0.09,,4.793,,,,
ABW,2000,0.213,,1.295,,0.022,0.063,0.746,,0.725,0.005,3.353,48674.04,37019.24,4.409,3.353,76.055,29.193,1.333,65.294,66.33,,0.091,,6.923,,,,
ABW,2001,0.31,,1.505,,-0.028,0.019,0.736,,0.764,0.005,3.395,50237.55,37124.97,4.594,3.395,73.899,25.602,1.267,67.178,68.0,,0.091,,6.489,,,,
ABW,2002,-0.333,,1.653,,-0.111,-0.062,0.755,,0.866,0.005,3.512,49419.48,38140.0,4.55,3.512,77.176,22.528,1.302,69.405,70.83,,0.092,,8.131,,,,
ABW,2003,-0.167,,1.495,,0.069,0.115,0.989,,0.92,0.005,3.659,49402.52,39289.41,4.601,3.659,79.529,21.55,1.316,71.942,72.45,,0.093,,11.4,,,,
ABW,2004,0.274,,1.717,,-0.344,-0.258,0.836,,1.18,0.005,4.036,51886.03,42424.02,4.936,4.036,81.764,25.352,1.318,73.762,74.46,,0.095,,9.5,,,,
ABW,2005,0.116,,1.905,,-0.125,-0.04,0.909,,1.034,0.005,4.224,50365.8,43267.87,4.917,4.224,85.907,24.261,1.342,76.268,77.28,,0.098,,8.8,,,,
ABW,2006,0.314,,2.012,,-0.112,-0.015,0.985,,1.098,0.005,4.421,50026.39,44473.73,4.973,4.421,88.901,22.665,1.348,79.021,79.22,,0.099,,9.3,,,,
ABW,2007,0.259,,2.136,,-0.05,0.057,1.034,,1.084,0.004,4.793,51188.84,47858.47,5.127,4.793,93.494,21.897,1.38,83.279,87.08,,0.1,,5.71,,,,
ABW,2008,0.001,,2.051,,0.075,0.214,1.365,,1.291,0.004,5.089,51732.14,50428.01,5.221,5.089,97.479,24.051,1.411,90.741,85.46,,0.101,,6.9,,,,
ABW,2009,0.177,,2.23,,-0.12,-0.004,1.109,,1.229,0.004,4.571,45381.64,44991.09,4.611,4.571,99.139,17.923,1.427,88.802,91.25,,0.102,,10.3,,,,
ABW,2010,-0.46,,2.401,,-0.153,-0.026,1.184,,1.337,0.004,4.392,44039.74,43126.6,4.485,4.392,97.927,13.255,1.392,90.647,90.59,,0.102,,10.6,,,,
ABW,2011,-0.264,,2.802,,-0.304,-0.166,0.981,,1.284,0.004,4.722,45189.64,46025.26,4.636,4.722,101.849,12.481,1.419,94.613,96.14,,0.103,,8.879,,,,
ABW,2012,0.094,,3.068,,-0.419,-0.269,1.021,,1.44,0.003,4.681,44066.88,44964.35,4.588,4.681,102.037,13.084,1.395,95.153,92.57,,0.104,,9.607,,,,
ABW,2013,-0.326,,3.42,,-0.295,-0.131,1.143,,1.438,0.004,4.883,46206.21,46206.21,4.883,4.883,100.0,15.031,1.345,92.896,92.64,,0.106,,7.599,,,,
ABW,2014,-0.134,,3.882,,-0.373,-0.185,1.118,,1.49,0.003,4.996,44991.07,46772.22,4.805,4.996,103.959,16.78,1.374,93.288,94.68,,0.107,,7.451,,,,
ABW,2015,0.115,,3.934,,-0.078,0.122,1.267,,1.346,0.003,5.304,44255.35,49150.26,4.775,5.304,111.061,21.411,1.454,93.729,93.8,,0.108,,7.298,,,,
ABW,2016,0.136,,4.026,,-0.078,0.14,1.264,,1.342,0.003,5.341,44676.47,49120.4,4.858,5.341,109.947,21.976,1.426,92.858,92.98,,0.109,,7.694,,,,
ABW,2017,0.03,,4.197,,-0.143,0.08,1.216,,1.359,0.003,5.535,47822.0,50907.77,5.2,5.535,106.453,21.844,1.357,91.903,92.55,,0.109,,8.923,,,,
ABW,2018,-0.017,,4.299,,-0.155,0.066,1.303,,1.458,0.003,5.864,48883.28,53847.16,5.324,5.864,110.155,21.694,1.371,95.235,96.67,,0.109,,7.283,,,,
ABW,2019,0.006,,4.319,,-0.015,0.215,1.425,,1.44,0.003,6.078,47628.6,55662.4,5.201,6.078,116.868,23.564,1.423,98.985,100.13,,0.109,,5.2,,,,
ABW,2020,-0.425,,5.146,,-0.743,-0.509,1.1,,1.843,0.002,4.58,36411.38,42182.34,3.954,4.58,115.849,9.187,1.412,97.687,97.06,,0.109,,8.6,,,,
ABW,2021,-0.065,,5.656,,-0.509,-0.266,1.094,,1.603,0.003,5.555,46857.77,51575.51,5.047,5.555,110.068,19.079,1.364,98.413,100.6,,0.108,,8.8,,,,
ABW,2022,0.213,,5.716,,-0.03,0.216,1.346,,1.376,0.003,6.345,51946.63,59128.09,5.574,6.345,113.825,26.342,1.317,103.848,106.37,,0.107,,6.6,,,,
ABW,2023,0.191,,5.556,,0.182,0.446,1.714,,1.532,0.003,7.061,54674.77,65771.13,5.87,7.061,120.295,26.664,1.343,107.34,108.79,,0.107,,4.0,,,,
ABW,2024,0.265,,5.403,,0.179,0.485,1.799,,1.619,0.003,7.622,57735.93,71057.89,6.193,7.622,123.074,26.67,1.342,109.819,111.727,,0.107,,3.884,,,,
ABW,2025,0.259,,5.277,,0.151,0.451,1.824,,1.672,0.003,7.956,58965.07,74271.77,6.317,7.956,125.959,27.007,1.349,112.394,114.074,,0.107,,5.008,,,,
ABW,2026,0.255,,5.145,,0.159,0.418,1.883,,1.724,0.003,8.238,59882.34,77020.31,6.405,8.238,128.619,27.359,1.352,114.768,116.412,,0.107,,6.131,,,,
ABW,2027,0.227,,5.022,,0.149,0.404,1.942,,1.794,0.003,8.522,60831.0,79818.2,6.495,8.522,131.213,27.324,1.355,117.082,118.74,,0.107,,6.134,,,,
ABW,2028,0.193,,4.903,,0.145,0.399,2.003,,1.859,0.003,8.814,61815.99,82732.84,6.586,8.814,133.837,27.373,1.357,119.424,121.115,,0.107,,6.139,,,,
ABW,2029,0.152,,4.794,,0.135,0.388,2.066,,1.931,0.003,9.116,62834.24,85777.55,6.678,9.116,136.514,27.369,1.359,121.812,123.537,,0.106,,6.113,,,,
AFG,2002,1.481,,618.456,,-0.176,,12.235,,12.411,0.042,178.756,21594.23,8512.1,453.484,178.756,39.418,61.151,7.86,31.263,42.89,,21.0,27.243,,,,,
AFG,2003,1.348,,595.36,,-4.624,,21.618,,26.242,0.044,220.013,21766.38,9715.68,492.903,220.013,44.636,59.718,8.728,42.413,45.691,,22.645,30.102,,34.052,87.537,49.541,36.222
AFG,2004,1.915,,603.134,,-5.891,,31.209,,37.101,0.042,246.21,21067.28,10453.22,496.209,246.21,49.618,72.57,9.449,49.351,51.752,,23.554,35.354,,-2.824,-29.688,-8.436,-0.427
AFG,2005,1.864,,629.234,,-2.797,-2.652,44.926,,47.723,0.045,304.926,22731.78,12491.25,554.91,304.926,54.951,67.274,10.146,54.566,57.219,,24.411,37.048,,51.498,13.43,41.968,55.01
AFG,2006,1.444,,79.485,,2.364,2.504,65.518,,63.154,0.045,345.817,22979.19,13591.86,584.658,345.817,59.149,50.333,10.594,58.269,59.671,,25.443,29.489,,-0.766,-32.39,-6.919,-2.198
AFG,2007,5.424,,86.083,,-10.524,-10.393,81.163,,91.687,0.048,427.495,25581.69,16503.5,662.65,427.495,64.513,119.243,11.25,63.327,69.273,,25.903,55.852,,-15.536,36.241,-11.904,-10.21
AFG,2008,3.477,,98.622,,-19.994,-19.899,88.162,,108.156,0.049,517.509,26043.15,19582.45,688.247,517.509,75.192,63.99,12.865,80.057,82.306,,26.427,30.222,,-3.34,51.104,-6.742,-8.267
AFG,2009,5.018,,98.658,,-10.691,-10.578,117.745,,128.435,0.059,607.227,30305.45,22173.46,829.924,607.227,73.167,78.09,12.441,74.604,74.211,,27.385,36.503,,28.869,-21.282,30.013,31.064
AFG,2010,4.51,,54.784,,6.643,6.726,154.612,,147.969,0.061,711.759,31925.04,25248.94,899.956,711.759,79.088,59.699,13.287,76.229,81.814,,28.19,30.269,,33.079,-2.105,11.218,31.901
AFG,2011,4.754,,62.726,,-5.618,-4.794,177.821,,183.439,0.063,836.222,32762.18,28589.63,958.266,836.222,87.264,52.981,14.364,85.227,89.433,,29.249,26.407,,7.665,-9.939,2.5,12.397
AFG,2012,2.205,,69.865,,1.882,2.66,260.571,,258.689,0.069,1033.59,35846.55,33925.53,1092.12,1033.59,94.641,36.204,15.294,90.717,94.687,,30.466,25.34,,36.24,10.366,-19.506,31.697
AFG,2013,0.291,,77.111,,-7.047,-6.075,271.903,,278.95,0.071,1116.83,36592.7,35408.51,1154.18,1116.83,96.764,24.538,15.375,97.417,101.543,,31.541,23.093,,7.502,5.197,-40.138,3.405
AFG,2014,1.35,,102.928,,-20.334,-19.935,280.187,,300.521,0.07,1183.04,36229.94,36160.64,1185.31,1183.04,99.809,24.009,15.587,101.97,103.053,,32.716,17.46,,-16.015,35.436,51.847,-14.249
AFG,2015,0.744,,112.281,,-16.898,-16.27,301.356,,318.255,0.069,1226.57,35463.36,36339.04,1197.01,1226.57,102.469,22.176,15.856,101.296,104.218,,33.753,18.467,,24.734,15.431,-10.234,16.629
AFG,2016,1.627,,103.181,,1.556,2.35,344.327,,342.771,0.068,1222.92,35307.47,35307.47,1222.92,1222.92,100.0,28.312,15.328,105.736,109.0,,34.636,19.283,,-8.264,12.188,-16.004,-8.394
AFG,2017,1.431,,102.807,,-8.653,-7.767,347.829,,356.482,0.067,1285.46,35217.93,36064.45,1255.29,1285.46,102.404,26.058,15.42,110.998,112.315,,35.643,18.481,,1.927,17.858,-6.119,3.812
AFG,2018,2.227,,98.042,,21.697,22.486,405.873,,384.176,0.068,1327.69,34623.25,36189.88,1270.22,1327.69,104.525,30.191,14.856,111.693,113.162,,36.687,18.047,,-7.886,2.3,27.753,-4.973
AFG,2019,2.209,,93.317,,-15.55,-14.971,395.923,,411.473,0.07,1469.6,34946.23,38909.61,1319.9,1469.6,111.341,29.897,15.026,114.264,116.3,,37.769,18.192,,-5.739,2.14,-2.916,-7.026
AFG,2020,2.814,,120.646,,-34.703,-34.131,397.564,,432.266,0.073,1547.29,33071.48,39702.35,1288.87,1547.29,120.05,30.985,15.335,120.671,122.1,,38.972,17.011,,-2.51,-16.606,0.534,-3.901
AFG,2021,,,,,-6.067,-5.786,218.316,,224.384,0.055,1251.17,27467.83,31201.71,1101.45,1251.17,113.594,10.575,14.588,130.038,140.833,,40.099,10.938,,,,,
AFG,2022,,,,,-12.8,-12.692,194.034,,206.834,0.05,1283.44,25101.13,31195.38,1032.71,1283.44,124.279,-12.05,14.898,143.822,143.56,,41.142,7.947,,,,,
AFG,2023,,,,,-18.436,-16.132,210.773,,229.209,0.05,1357.28,25152.78,32185.34,1060.71,1357.28,127.959,-14.529,14.806,132.728,130.603,,42.171,9.686,,,,,
AGO,1980,0.07,,,,,,,,,0.094,,245892.71,1055.34,2033.97,8.73,,13.465,,46.708,,,8.272,12.122,,-5.0,,-3.0,-39.0
AGO,1981,-0.183,,,,,,,,,0.088,,228887.29,961.721,1944.47,8.17,,11.488,,1.391,1.833,,8.495,13.148,,-3.3,,8.0,17.3
AGO,1982,-0.494,,,,,,,,,0.088,,222988.13,936.935,1944.47,8.17,,9.445,,1.833,1.833,,8.72,14.916,,-21.5,,-12.9,1.7
AGO,1983,-0.359,,,,,,,,,0.089,,226425.78,951.5,2026.14,8.514,,8.718,,1.833,1.833,,8.948,12.381,,-17.4,,4.6,-2.7
AGO,1984,-0.171,,,,,,,,,0.091,,233829.45,982.624,2147.71,9.025,,10.98,,1.833,1.833,,9.185,12.347,,30.4,,12.5,2.2
AGO,1985,0.195,,,,,,,,,0.091,,214769.68,1074.33,2222.88,11.119,,8.966,,1.833,1.833,,10.35,9.45,,-14.5,,-5.9,-9.4
AGO,1986,-0.303,,,,,,,,,0.09,,214859.17,977.905,2287.34,10.411,,4.115,,1.833,1.833,,10.646,9.488,,-25.7,,-33.8,-6.5
AGO,1987,0.447,,,,,,,,,0.09,,218058.72,1089.96,2380.73,11.9,,10.762,,1.833,1.833,,10.918,9.408,,16.8,,54.3,-1.5
AGO,1988,-0.469,,,,,,,,,0.092,,225320.36,1151.19,2526.64,12.909,,2.038,,1.833,1.833,,11.214,7.33,,2.1,,7.0,26.9
AGO,1989,-0.132,,,,,,,,,0.089,,219396.93,1303.41,2527.69,15.017,,6.913,,1.833,1.833,,11.521,7.292,,-5.6,,2.7,-22.0
AGO,1990,-0.236,,,,,,,,,0.083,,206320.0,1397.41,2440.49,16.529,,48.584,,1.833,1.833,,11.829,4.354,,12.9,,14.6,-15.8
AGO,1991,-0.58,,,,,,,,,0.091,,223685.55,1310.22,2735.38,16.022,,52.614,,85.265,175.72,,12.229,9.5,,-14.257,,0.186,-3.886
AGO,1992,-0.735,,,,,,,,,0.091,,241225.86,977.93,3047.29,12.354,,56.202,,299.097,495.793,,12.633,16.026,,42.589,,8.359,21.141
AGO,1993,-0.669,,,,,,,,,0.099,,259355.73,0.003,3381.55,8.966,,58.505,,1379.48,1837.87,,13.038,16.442,,-23.32,,-8.275,-19.125
AGO,1994,-0.34,,,,,,,,,0.106,0.001,277593.65,0.074,3736.97,0.001,,60.317,,949.771,971.954,,13.462,15.984,,-19.574,,8.236,-26.769
AGO,1995,-0.295,,,,,,,,,0.113,0.019,296447.92,1.588,4124.26,0.022,0.001,63.67,0.001,0.001,0.003,,13.912,17.36,,15.717,,12.24,27.968
AGO,1996,3.266,,,,0.06,0.153,0.4,,0.339,0.121,1.157,318875.16,93.417,4586.49,1.344,0.029,81.569,0.028,0.027,0.048,,14.383,21.575,,11.645,,10.698,27.764
AGO,1997,-0.884,,,,-0.007,0.117,0.747,,0.754,0.125,2.427,330850.58,189.443,4920.13,2.817,0.057,53.996,0.053,0.088,0.119,,14.871,15.836,,39.356,,6.02,8.432
AGO,1998,-1.867,,,,-0.21,0.007,0.864,,1.073,0.127,3.54,335197.71,267.476,5150.94,4.11,0.08,51.039,0.073,0.183,0.278,,15.367,21.887,,-15.434,2.536,2.536,-5.44
AGO,1999,-1.71,,,,-2.236,-0.684,8.638,,10.873,0.126,23.786,331635.48,1739.97,5263.31,27.615,0.525,13.745,0.473,0.637,1.195,,15.871,31.03,,56.08,1.426,1.426,26.806
AGO,2000,0.796,,150.141,,2.567,7.54,48.051,69.49,45.484,0.123,126.977,330856.32,7745.32,5424.08,126.977,2.341,36.951,2.063,2.707,4.401,,16.394,30.66,,1.023,1.624,1.624,3.965
AGO,2001,-1.431,,273.646,,7.658,17.478,90.32,93.01,82.661,0.125,273.041,333629.65,16116.61,5652.22,273.041,4.831,19.1,4.164,6.838,9.508,,16.942,30.66,,2.037,-2.578,-2.578,13.854
AGO,2002,-0.15,,490.63,,-16.917,-1.385,190.836,-5.328,207.753,0.139,753.574,366783.44,43021.7,6424.63,753.574,11.729,29.792,9.956,14.284,19.548,,17.516,30.66,,5.055,23.562,23.562,-6.072
AGO,2003,-0.72,,770.358,,-62.256,-43.252,394.898,-48.309,457.154,0.138,1517.65,366846.39,83735.51,6648.85,1517.65,22.826,27.688,18.999,28.313,34.514,,18.124,31.227,,32.941,-1.578,-1.931,13.358
AGO,2004,0.681,,938.867,,23.287,61.076,609.686,44.641,586.399,0.147,2255.45,394656.58,120155.19,7408.15,2255.45,30.446,33.703,24.678,40.637,45.217,,18.771,31.18,,-3.648,13.226,13.537,9.402
AGO,2005,5.138,,1078.33,,231.059,279.643,1085.84,130.718,854.785,0.16,3608.1,434754.96,185497.02,8456.4,3608.1,42.667,39.732,33.533,49.968,53.596,,19.451,27.321,,37.794,30.262,28.148,36.996
AGO,2006,10.69,,788.437,,396.677,450.016,1685.03,189.688,1288.35,0.17,4713.88,469074.46,233796.38,9457.64,4713.88,49.842,42.879,38.0,56.616,60.139,,20.162,24.654,,-0.228,9.97,14.255,2.124
AGO,2007,10.581,,1053.51,,215.87,269.528,2124.71,-37.228,1908.84,0.183,5602.45,511109.2,267935.66,10687.13,5602.45,52.422,40.793,38.913,63.551,67.221,,20.91,26.305,,42.678,22.12,17.501,48.041
AGO,2008,7.194,,2084.57,,-281.356,-158.7,3217.43,-311.219,3498.79,0.197,7412.58,545847.97,341726.97,11840.27,7412.58,62.605,39.67,45.593,71.472,76.074,,21.692,32.388,,36.339,10.307,10.105,45.521
AGO,2009,-7.572,,3140.17,,-440.464,-337.328,2069.73,-486.14,2510.2,0.202,6481.52,536576.05,287969.43,12077.08,6481.52,53.668,33.582,38.845,81.278,86.714,,22.508,42.849,,19.019,-3.61,-2.64,6.904
AGO,2010,7.506,,2862.15,,261.463,350.999,3295.49,-190.768,3034.03,0.203,8781.31,544249.94,375844.82,12715.96,8781.31,69.057,36.014,49.384,93.047,100.0,,23.364,28.158,,-31.699,-3.425,-3.266,-21.365
AGO,2011,13.085,,3103.84,,848.602,943.251,4776.15,-260.615,3927.55,0.202,11793.66,542990.18,486153.88,13172.46,11793.66,89.533,36.878,62.731,105.594,111.376,,24.259,26.456,,8.761,-4.837,-5.404,11.058
AGO,2012,13.853,,3262.91,,505.037,610.322,5053.8,-718.664,4548.77,0.213,13706.61,567411.16,544166.0,14292.12,13706.61,95.903,36.303,65.967,116.454,121.447,,25.188,26.654,,20.491,3.829,3.838,7.305
AGO,2013,8.348,,4374.03,,-40.085,59.02,4848.61,-1051.68,4888.69,0.216,14840.76,573280.77,567589.36,14989.57,14840.76,99.007,31.557,66.962,126.681,130.782,,26.147,26.127,,12.212,-0.752,0.064,8.415
AGO,2014,-3.748,,5702.31,,-819.375,-669.879,4402.64,-1560.22,5222.02,0.219,16165.67,578291.53,595896.02,15688.09,16165.67,103.044,25.243,68.499,135.927,140.588,,27.128,27.522,,10.014,-2.985,-2.115,10.368
AGO,2015,-10.273,,7964.65,,-406.964,-158.494,3366.74,-557.33,3773.71,0.213,15807.32,561983.57,561983.57,15807.32,15807.32,100.0,26.827,65.864,148.377,157.587,,28.128,34.63,,-17.807,5.75,6.721,-19.489
AGO,2016,-3.085,,12521.84,,-748.074,-277.674,2899.97,-833.633,3648.04,0.203,18781.82,532969.58,644211.27,15538.59,18781.82,120.872,25.528,78.862,193.92,222.395,,29.155,28.216,,-35.021,-0.816,-1.971,-30.326
AGO,2017,-0.633,,14034.66,,-1333.42,-599.942,3546.27,-1439.65,4879.69,0.196,23200.8,513655.85,768018.96,15516.84,23200.8,149.52,32.316,95.837,251.795,275.028,,30.209,32.769,,6.402,-1.509,-1.252,5.655
AGO,2018,7.403,,23832.49,,586.09,1800.0,5859.96,418.854,5273.87,0.197,28873.39,493237.82,923253.25,15425.29,28873.39,187.182,37.283,111.442,301.218,326.194,,31.274,30.8,,5.81,-9.585,-10.725,-11.251
AGO,2019,5.137,,35012.67,,239.217,1959.87,6530.16,191.469,6290.94,0.199,34538.51,475818.59,1067532.54,15394.44,34538.51,224.357,36.278,124.44,352.664,381.299,,32.354,30.851,,-7.906,-5.705,-5.927,-11.289
AGO,2020,0.872,,45830.65,,-638.098,1661.67,7052.76,-4.977,7690.86,0.188,38466.15,441913.62,1150699.68,14772.5,38466.15,260.39,37.189,146.909,431.227,477.015,,33.428,35.878,,-33.048,-6.428,-7.342,-32.683
AGO,2021,8.399,,39581.36,,1810.66,4255.15,11017.32,1715.81,9206.66,0.197,53277.98,437132.64,1544120.42,15082.73,53277.98,353.238,46.056,174.091,542.334,606.027,,34.504,36.101,,7.298,-8.521,-8.558,8.02
AGO,2022,11.763,,36809.37,,383.403,2660.58,13183.0,111.327,12799.59,0.198,65604.31,440173.57,1837068.75,15719.22,65604.31,417.351,41.893,191.999,658.179,689.949,,35.711,33.606,,37.455,3.388,3.271,42.314
AGO,2023,4.185,,55379.97,,-1409.85,2669.12,13052.81,-1242.89,14462.66,0.194,75160.64,429584.25,2033495.31,15878.0,75160.64,473.364,37.843,210.203,747.946,827.919,,36.961,34.028,,-9.38,-5.015,-4.976,-13.978
AGO,2024,3.792,,58945.85,,1564.44,6132.93,17911.89,824.598,16347.46,0.193,99430.63,425070.83,2599157.18,16261.06,99430.63,611.464,36.032,265.193,960.258,1059.83,,38.255,32.684,,3.415,0.468,0.448,3.415
AGO,2025,1.826,,63759.27,,1541.24,7397.88,20567.37,319.619,19026.13,0.192,122414.03,422150.64,3091741.66,16714.58,122414.03,732.379,34.281,311.966,1165.22,1259.68,,39.594,32.739,,2.129,5.62,5.638,2.129
AGO,2026,1.628,,65057.16,,1320.54,7966.23,23363.44,-30.494,22042.9,0.192,145316.57,421214.25,3546065.66,17261.22,145316.57,841.867,34.111,352.071,1344.64,1419.44,,40.98,32.799,,1.03,6.002,6.007,1.03
AGO,2027,1.718,,64726.44,,1508.14,8026.21,25665.83,391.425,24157.69,0.192,167681.03,420502.07,3953440.82,17835.15,167681.03,940.172,33.902,386.087,1495.46,1561.86,,42.414,32.613,,-0.865,3.133,3.139,7.228
AGO,2028,1.588,,67159.25,,1475.12,8477.58,28486.31,647.924,27011.19,0.193,192027.18,419938.79,4374351.3,18434.66,192027.18,1041.66,33.508,420.067,1645.51,1718.58,,43.898,32.385,,1.586,2.622,2.628,-6.081
AGO,2029,1.605,,72170.59,,-408.089,7398.03,30171.72,-1277.61,30579.81,0.194,220599.57,419519.77,4855290.91,19060.83,220599.57,1157.35,33.175,458.312,1810.62,1891.02,,45.435,32.11,,0.237,3.105,3.109,0.237
ALB,1980,0.001,,,,,,,,,0.043,18.489,116584.54,6919.41,311.514,18.489,5.935,27.121,3.241,,,,2.672,4.85,5.028,0.0,0.0,0.0,0.0
ALB,1981,-0.01,,,,,,,,,0.045,19.126,120786.15,7016.15,329.27,19.126,5.809,39.852,2.898,,,,2.726,44.377,4.224,0.0,0.0,0.0,0.0
ALB,1982,-0.052,,,,,,,,,0.046,19.698,121689.95,7074.57,338.819,19.698,5.814,41.023,2.731,,,,2.784,47.592,2.813,0.0,0.0,0.0,0.0
ALB,1983,-0.037,,,,,,,,,0.045,19.9,120446.72,6997.24,342.546,19.9,5.809,44.479,2.627,,,,2.844,50.658,3.335,0.0,0.0,0.0,0.0
ALB,1984,-0.03,,,,,,,,,0.044,19.645,120297.85,6763.89,349.397,19.645,5.623,46.845,2.454,,,,2.904,52.943,4.41,0.0,0.0,0.0,0.0
ALB,1985,-0.027,,,,,,,,,0.042,20.065,116082.04,6767.92,344.156,20.065,5.83,40.83,2.466,,,,2.965,46.186,5.853,0.0,0.0,0.0,0.0
ALB,1986,0.001,,,,,,,,,0.043,20.692,120235.6,6845.79,363.428,20.692,5.694,40.314,2.361,,,,3.023,44.293,5.43,0.0,,0.0,0.0
ALB,1987,0.007,,,,,,,,,0.041,20.531,116915.4,6657.96,360.521,20.531,5.695,42.435,2.304,,,,3.084,46.325,5.164,,0.0,,0.0
ALB,1988,-0.025,,,,,,,,,0.039,20.238,113124.0,6440.37,355.474,20.238,5.693,40.026,2.225,,,,3.142,45.102,6.033,,,,0.0
ALB,1989,-0.075,,,,,,,,,0.041,22.228,120916.02,6886.27,390.31,22.228,5.695,38.061,2.142,3.391,3.391,,3.228,44.823,6.721,,,,
ALB,1990,-0.096,,,,,,,,,0.035,20.006,106884.08,6087.18,351.279,20.006,5.695,41.016,2.065,3.385,3.391,,3.287,49.84,8.457,0.0,0.0,,0.0
ALB,1991,-0.165,,,,,,,,,0.025,19.519,77421.84,5975.01,252.921,19.519,7.717,-8.026,2.706,4.594,6.919,,3.267,9.509,8.9,0.0,0.0,0.0,0.0
ALB,1992,-0.069,,,,,,,,,0.021,63.341,72284.5,19507.21,234.711,63.341,26.987,9.426,9.252,14.976,23.289,,3.247,7.438,26.5,,0.0,0.0,0.0
ALB,1993,0.024,,,,,,,,,0.022,149.142,79708.68,46212.78,257.243,149.142,57.977,23.388,19.417,27.706,30.495,,3.227,18.881,22.3,,,0.0,0.0
ALB,1994,-0.087,,,,,,,,,0.024,223.571,87738.26,69701.86,281.424,223.571,79.443,21.832,26.05,33.958,35.318,,3.208,25.603,18.4,,,,0.0
ALB,1995,-0.057,,,,,,,,,0.025,267.424,96138.99,83890.18,306.47,267.424,87.259,21.481,28.025,36.605,37.443,,3.188,25.746,12.9,,,,0.0
ALB,1996,-0.253,,,,,,,,,0.026,334.359,105541.55,105541.55,334.359,334.359,100.0,16.07,31.54,41.266,43.959,,3.168,18.064,12.3,,,,
ALB,1997,-0.295,,239.197,,-39.434,-21.284,60.956,,100.391,0.022,331.324,94601.8,105239.73,297.833,331.324,111.245,10.2,34.492,54.953,62.453,,3.148,16.659,14.9,-10.186,-13.472,-19.051,-9.901
ALB,1998,-0.178,,273.949,,-38.198,-3.32,103.238,,141.437,0.024,384.848,103604.5,123012.54,324.13,384.848,118.733,16.235,36.404,66.298,67.878,,3.129,19.743,17.7,31.411,33.237,24.363,28.907
ALB,1999,-0.062,,302.454,,-39.22,-5.006,125.387,,164.607,0.026,443.594,117702.98,142690.68,365.912,443.594,121.229,17.803,36.651,66.556,67.179,,3.109,19.735,18.4,30.279,25.413,88.951,38.743
ALB,2000,-0.246,,319.608,,-38.954,-9.381,130.642,,169.596,0.026,501.199,126683.82,162251.41,391.33,501.199,128.076,23.768,37.863,66.582,70.004,,3.089,30.796,16.8,-14.3,-7.088,16.254,-3.432
ALB,2001,-0.248,,341.522,,-38.524,-14.904,145.639,,184.163,0.028,563.449,138483.63,184123.19,423.784,563.449,132.957,28.703,38.44,68.66,72.474,,3.06,34.989,16.44,33.181,23.048,23.9,23.272
