country,year,gdp_current_usd,gdp_growth,debt_to_gdp,inflation,exports_gdp,imports_gdp,gdp_per_capita,population,foreign_reserves,current_account_balance
ABW,1990,764804469.273743,3.96140172360629,,5.83668775158166,,,12187.5363611898,62753.0,136430000.0,-20.6793279766252
ABW,1991,872067039.106145,7.96287173232642,,5.55555555555579,,,13233.9905169683,65896.0,154950000.0,-24.023062139654
ABW,1992,958659217.877095,5.88235395341866,,3.8733753699648,,,13892.6051427736,69005.0,175435000.0,4.56876456876456
ABW,1993,1083240223.46369,7.30769324531406,,5.2155599603571,,,14700.9598081521,73685.0,220304999.0,3.85250128932439
ABW,1994,1245810055.86592,8.20390129312089,,6.3110797127044,,,16055.2877874337,77595.0,215915000.0,6.5067264573991
ABW,1995,1320670391.06145,2.54714368704694,,3.36139107320899,84.8984771573604,86.4636209813875,16548.7173868987,79805.0,255345000.0,-0.0211505922165815
ABW,1996,1379888268.15642,1.18578851134656,,3.22528797213979,86.6396761133603,88.7044534412956,16620.9545555513,83021.0,224545000.0,-5.0080971659919
ABW,1997,1531843575.41899,7.04687499241221,,2.99994809778412,82.5309992706054,86.2509117432531,17750.0095644198,86301.0,201350001.0,-12.7826404084609
ABW,1998,1665363128.49162,1.99198444906199,,1.86948853615541,79.6377054679638,83.629654478363,18828.0870594071,88451.0,250969999.0,-1.12713854411271
ABW,1999,1722905027.93296,1.2380418420716,,2.28037198258753,79.928664072633,84.6303501945525,19216.1972354472,89659.0,248935000.0,-25.2778858625162
ABW,2000,1873452513.96648,7.62292064930222,,4.04402131190513,74.3860109498193,70.6868685663848,20681.0230269625,90588.0,235455000.0,11.0568722640362
ABW,2001,1896456983.24022,4.1820016304779,,2.88360430316264,70.9967837702649,69.3943248480407,20740.1325828172,91439.0,321360614.52514,16.2808742441801
ABW,2002,1961843575.41899,-0.944953481157384,,3.31524678585423,64.5643135803172,68.6664578409317,21307.2482505267,92074.0,374002932.960894,-17.3434518893983
ABW,2003,2044111731.84358,1.11050459944282,,3.65636507938418,62.7312132409209,70.0630780331023,21949.4859960868,93128.0,336945700.0,-8.09902267310928
ABW,2004,2254830726.25698,7.29372807096192,,2.52912946932762,64.6655585140977,67.7653712810757,23700.6319899197,95138.0,339224000.0,12.0136853291022
ABW,2005,2360017318.43575,-0.383137672063768,,3.39778677828806,68.0752981880873,76.9749819561498,24171.8371325422,97635.0,324813400.0,4.44757292760025
ABW,2006,2469782681.56425,1.12741146411624,,3.60802438784541,64.5941526531523,76.4484740814733,24845.65848362,99405.0,401389600.0,12.5742113280132
ABW,2007,2677641340.78212,3.0895443848509,,5.39256784475517,65.0612625386555,74.9110469524375,26736.3089444046,100150.0,455457100.0,9.64536035842434
ABW,2008,2843024581.00559,1.83575517191368,,8.95598705177784,65.5292950658025,73.5808547588983,28171.9094008501,100917.0,691873900.0,0.0039300343838726
ABW,2009,2553793296.08939,-11.6777413693852,,-2.13542872046937,62.9185634689552,74.6380124647528,25134.7712303589,101604.0,686970110.0,6.72239127248544
ABW,2010,2453597206.70391,-2.73345679250639,,2.07814071860787,60.2181860904717,75.2464685871092,24093.1401510626,101838.0,708713690.0,-18.7525373189382
ABW,2011,2637859217.87709,3.36923718421511,,4.31629742195203,69.7510127562388,84.6867741066482,25712.3843015186,102591.0,689775980.0,-9.8776559966521
ABW,2012,2615208379.88827,-1.04079988436683,,0.627471992893373,73.1035458041627,83.5416514017811,25119.6655449838,104110.0,768622300.0,3.47345127544661
ABW,2013,2727849162.01117,6.43146080719245,,-2.37206524252261,73.5764358929723,82.1554685240735,25813.5714408438,105675.0,653170670.0,-11.813208837986
ABW,2014,2790849720.67039,1.42609864257801,,0.421440918881214,75.4546231589626,81.0364296072738,26129.8390617693,106807.0,680351000.0,-4.65857687581843
ABW,2015,2962906703.91061,3.61147995361162,,0.474763597342641,70.3217227986333,70.1712783348627,27458.2201537506,107906.0,815800560.0,3.99414243924537
ABW,2016,2983637430.1676,1.23433537363427,,-0.931195987079561,68.9666600570598,67.9206032637667,27441.5502144601,108727.0,922550890.0,4.7317741972835
ABW,2017,3092427932.96089,3.49342985290626,,-1.02828178762012,69.6369362107407,69.0796838844953,28440.0416881491,108735.0,907111452.513966,1.1197958543778
ABW,2018,3276187709.49721,3.21247111920076,,3.62604141352961,68.4088639609739,70.4161082846835,30082.1584226798,108908.0,980247680.0,-0.59136646769686
ABW,2019,3346623191.45988,1.22511225158814,,4.25746204335428,66.7217875421583,71.2401417712412,30645.8906024548,109203.0,982300000.0,2.53380248998849
ABW,2020,2471419181.71957,-23.8979898352395,,,53.5769436483474,69.1467943980567,22759.8071750722,108587.0,1212578720.0,-12.8046064501285
ABW,2021,2880902798.92288,14.7306159219273,,,67.5199048286586,72.3978928801098,26749.3296093118,107700.0,1512960280.0,2.75111908453426
ABW,2022,3324034443.26581,10.6364309604414,,,80.8068810212559,79.8276653967588,30975.9989121779,107310.0,1543940590.0,6.93602302823432
ABW,2023,3834729616.12027,7.70679839650956,,,82.4000749026328,76.6185220220193,35718.7531191634,107359.0,1468151730.0,5.07202388667267
ABW,2024,4265650673.00236,6.81077669324542,,,83.9924869695432,76.372791820404,39498.5941293797,107995.0,,
AFE,1990,256383050159.487,0.121363050873086,,12.4579139789566,20.3043032571772,19.6161585473318,822.402998906313,311748681.0,,
AFE,1991,276918502950.348,-0.106034110343302,,17.6781002638523,18.440862212004,19.4426564438368,864.174086040692,320442961.0,,
AFE,1992,241188307967.9,-2.3952835254757,,16.1676123963339,21.4617727496176,21.0267134818431,732.910915212266,329082707.0,,
AFE,1993,239981176638.05,-0.839117754770186,,13.1356607683724,22.645249753491,21.1660437937336,709.323533711482,338324002.0,,
AFE,1994,243477534983.306,1.91965438780466,,14.8528149833969,23.6347618687833,23.9932907529904,700.77212550809,347441809.0,,
AFE,1995,273327034187.587,4.35461769115784,,12.2885912601426,24.2993444729098,25.8567664874208,766.522931015445,356580375.0,,
AFE,1996,273427612467.252,5.49911124792519,,9.70658632526504,25.4028012563172,26.3947124551468,746.787334695357,366138524.0,,
AFE,1997,288270699674.414,3.85673898320249,,10.2495987403066,24.4848167079977,26.028051451893,767.39941150858,375646235.0,,
AFE,1998,268728127688.21,1.7751720856126,,7.49525542305607,24.8113543925767,27.160250434957,697.079415310028,385505757.0,,
AFE,1999,265321007618.974,2.63418427787336,,7.81986477630862,24.7360087716723,25.6506384831653,670.42421254121,395750933.0,,
AFE,2000,287041984552.036,3.18137506041111,,8.60148514851491,25.5466505570119,25.8106139240574,706.727260967009,406156661.0,,
AFE,2001,260849957489.123,3.50353308518427,,5.84035398311557,27.207250045934,26.5191683112241,625.82781544115,416807868.0,,
AFE,2002,269746009737.979,3.91711337379634,,8.76375520313543,27.5365444785519,27.3914131792106,630.512327648462,427820358.0,,
AFE,2003,358116081062.427,3.00937249317595,,7.44970014007366,25.3461880263816,25.9886726918966,815.432296267735,439173286.0,,
AFE,2004,445974808500.088,5.63469800866547,,5.02342068616285,25.5106697968165,26.6901559145131,989.015463629244,450928044.0,,
AFE,2005,521561976778.096,6.17365914390395,,8.55803802239778,27.4217430797389,27.7830196851241,1126.2973233912,463076637.0,,
AFE,2006,587500469826.421,6.63749738735714,,8.89816380214033,29.2307970845295,29.0354495235891,1235.26660811771,475606210.0,,
AFE,2007,674999944547.619,6.70003329209791,,8.45077480635,31.5709137021676,31.2935995127487,1381.5525968929,488580707.0,,
AFE,2008,726770401376.729,4.43752919445292,,12.5666446595157,34.9202310108669,35.3100156306885,1447.54575437552,502070763.0,,
AFE,2009,726921646144.603,0.919472850509038,,8.95421802392949,26.9119931531484,30.6910656620183,1408.75346659428,516003448.0,,
AFE,2010,863822114606.332,5.30790438645938,,5.53753791645676,29.0113731471337,29.4051934461214,1628.90524793139,530308387.0,,
AFE,2011,959822476083.878,4.07747696614018,,8.97120640995788,30.9746253824193,31.6662551578502,1761.98926096159,544737983.0,,
AFE,2012,969265729636.028,1.89717291956102,,9.15870843167905,29.466768547602,32.6271153016894,1732.03802145335,559609961.0,,
AFE,2013,981308886976.783,4.35668249727492,,5.74883133553454,28.8051646840214,33.7055238029989,1706.02274412621,575202699.0,,
AFE,2014,998836162271.296,3.92038970191821,,5.52581923392517,27.7325084983663,32.9660764178451,1690.16679245944,590968990.0,,
