country,iso3,inform_risk,hazard_&_exposure,other_vulnerable_groups,risk_class
(a-z),(a-z),(0-10),(0-10),(0-10),(Very Low-Very High)
TUN,TUN,3.2,3.1,0.3,Medium
Türkiye,TUR,5.2,6.9,1.9,High
TKM,TKM,2.8,2.8,1.1,Low
TUV,TUV,2.7,1.3,2.6,Low
UGA,UGA,5.3,3.3,5.1,High
UKR,UKR,5.6,8.1,1.1,High
ARE,ARE,2,2.8,0.5,Very Low
GBR,GBR,2.1,2,0.3,Very Low
United States of America,USA,3.2,5,0.2,Medium
URY,URY,2.5,1.5,1.9,Low
UZB,UZB,3.2,3.4,0.5,Medium
VUT,VUT,4.3,2.9,5.7,Medium
Venezuela,VEN,5.7,5.2,2.4,High
VNM,VNM,3.8,4.8,1.6,Medium
Yemen,YEM,8,7.5,5.3,Very High
ZMB,ZMB,4.6,2.2,7.8,Medium
ZWE,ZWE,4.8,3.1,7.8,Medium
