country,year,imf_debt_gdp
AZE,2006,5.2966484
AZE,2007,4.0033179
AZE,2008,3.2207652
AZE,2009,4.7261824
AZE,2010,4.9808659
AZE,2011,4.9668637
AZE,2012,5.8306015
AZE,2013,6.1788358
AZE,2014,8.5326239
AZE,2015,17.980392
AZE,2016,20.608326
AZE,2017,22.508608
AZE,2018,18.685387
AZE,2019,17.656008
AZE,2020,21.327232
AZE,2021,26.348773
AZE,2022,17.324126
AZE,2023,21.806829
AZE,2024,20.85046
BDI,1990,84.040817
BDI,1991,84.350586
BDI,1992,93.458499
BDI,1993,111.9717
BDI,1994,119.62528
BDI,1995,117.12097
BDI,1996,139.3973
BDI,1997,122.80046
BDI,1998,138.86754
BDI,1999,140.64547
BDI,2000,136.42511
BDI,2001,127.38667
BDI,2002,159.08831
BDI,2003,171.96926
BDI,2004,172.73834
BDI,2005,136.98012
BDI,2006,130.25485
BDI,2007,129.61325
BDI,2008,102.51523
BDI,2009,25.690163
BDI,2010,46.911653
BDI,2011,42.70571
BDI,2012,41.430492
BDI,2013,37.857606
BDI,2014,37.970667
BDI,2015,39.92598
BDI,2016,46.119013
BDI,2017,46.902329
BDI,2018,52.970966
BDI,2019,60.052522
BDI,2020,65.899592
BDI,2021,66.467376
BDI,2022,68.278885
BDI,2023,47.21638
BDI,2024,43.177869
BEL,1990,104.23579
BEL,1991,106.78972
BEL,1992,108.96814
BEL,1993,115.4947
BEL,1994,112.69816
BEL,1995,116.60926
BEL,1996,114.05023
BEL,1997,111.36919
BEL,1998,106.86688
BEL,1999,103.87358
BEL,2000,98.932427
BEL,2001,98.156128
BEL,2002,95.297067
BEL,2003,89.333608
BEL,2004,85.088606
BEL,2005,83.855475
BEL,2006,80.866121
BEL,2007,77.203822
BEL,2008,82.738249
BEL,2009,86.180281
BEL,2010,85.742563
BEL,2011,87.818253
BEL,2012,88.565897
BEL,2013,89.228036
BEL,2014,89.623888
BEL,2015,89.107855
BEL,2016,89.528015
BEL,2017,87.354536
BEL,2018,85.124442
BEL,2019,82.777623
BEL,2020,92.833854
BEL,2021,90.813461
BEL,2022,84.976861
BEL,2023,85.276362
BEL,2024,85.432495
BEN,1990,45.271477
BEN,1991,44.031655
BEN,1992,41.795413
BEN,1993,41.876364
BEN,1994,64.607327
BEN,1995,48.253134
BEN,1996,43.431141
BEN,1997,42.941272
BEN,1998,41.570581
BEN,1999,39.408922
BEN,2000,39.591941
BEN,2001,37.986511
BEN,2002,30.768042
BEN,2003,23.380852
BEN,2004,21.50953
BEN,2005,26.978139
BEN,2006,8.3661223
BEN,2007,14.285904
BEN,2008,18.306656
BEN,2009,18.74768
BEN,2010,20.999765
BEN,2011,21.860411
BEN,2012,19.540206
BEN,2013,18.503746
BEN,2014,22.282075
BEN,2015,30.90023
BEN,2016,35.92335
BEN,2017,39.598463
BEN,2018,41.080351
BEN,2019,41.229642
BEN,2020,46.142077
BEN,2021,50.288036
BEN,2022,54.186872
BEN,2023,54.903847
BEN,2024,54.033443
BFA,1990,25.601213
BFA,1991,28.732834
BFA,1992,29.589874
BFA,1993,33.592028
BFA,1994,55.119092
BFA,1995,48.933324
BFA,1996,45.845272
BFA,1997,48.371047
BFA,1998,47.682959
BFA,1999,46.442959
BFA,2000,47.479993
BFA,2001,46.62703
BFA,2002,43.286942
BFA,2003,39.658162
BFA,2004,40.740476
BFA,2005,39.214027
BFA,2006,20.088849
BFA,2007,22.416088
BFA,2008,24.867871
BFA,2009,25.871201
BFA,2010,22.668349
BFA,2011,28.400365
BFA,2012,25.2106
BFA,2013,25.90063
BFA,2014,26.085792
BFA,2015,31.251556
BFA,2016,32.854492
BFA,2017,33.885128
BFA,2018,38.113762
BFA,2019,41.734023
BFA,2020,43.636872
BFA,2021,55.369129
BFA,2022,56.369065
BFA,2023,52.657331
BFA,2024,52.686085
BGD,1990,31.48327
BGD,1991,31.759251
BGD,1992,33.137189
BGD,1993,34.053849
BGD,1994,35.487384
BGD,1995,32.885564
BGD,1996,31.031882
BGD,1997,29.063874
BGD,1998,31.118805
BGD,1999,32.667246
BGD,2000,31.195414
BGD,2001,37.071302
BGD,2002,38.90046
BGD,2003,37.043651
BGD,2004,36.584831
BGD,2005,35.558062
BGD,2006,35.331836
BGD,2007,34.988674
BGD,2008,33.869933
BGD,2009,33.009655
BGD,2010,29.62266
BGD,2011,29.393018
BGD,2012,29.078029
BGD,2013,28.343995
BGD,2014,28.682664
BGD,2015,28.205819
BGD,2016,27.719823
BGD,2017,28.306012
BGD,2018,29.552905
BGD,2019,31.951374
BGD,2020,34.50939
BGD,2021,35.61444
BGD,2022,37.862604
BGD,2023,39.269668
BGD,2024,40.126258
BGR,1990,57.1
BGR,1991,115.2
BGR,1992,145.95946
BGR,1993,199.90733
BGR,1994,118.95758
BGR,1995,72.029421
BGR,1996,113.84217
BGR,1997,88.374958
BGR,1998,65.136159
BGR,1999,70.336428
BGR,2000,71.50061
BGR,2001,65.296559
BGR,2002,51.477037
BGR,2003,43.838522
BGR,2004,36.093398
BGR,2005,27.086981
BGR,2006,21.727965
BGR,2007,17.072986
BGR,2008,13.842391
BGR,2009,14.957794
BGR,2010,17.019596
BGR,2011,16.925927
BGR,2012,18.511887
BGR,2013,19.199919
BGR,2014,29.152092
BGR,2015,27.594841
BGR,2016,30.978853
BGR,2017,26.897645
BGR,2018,23.99384
BGR,2019,21.925299
BGR,2021,23.30354
BGR,2022,22.032664
BGR,2023,22.343757
BGR,2024,23.552426
BHR,1990,7.2371701
BHR,1991,6.709117
BHR,1992,6.4504739
BHR,1993,5.9458514
BHR,1994,5.621717
BHR,1995,13.619882
BHR,1996,13.117117
BHR,1997,14.75572
BHR,1998,19.995288
BHR,1999,24.668482
BHR,2000,24.695137
BHR,2001,25.012891
BHR,2002,27.22179
BHR,2003,31.128745
BHR,2004,28.198038
BHR,2005,23.207288
BHR,2006,19.426017
BHR,2007,15.678633
BHR,2008,12.050674
BHR,2009,20.491747
BHR,2010,28.787217
BHR,2011,31.55369
BHR,2012,34.832808
BHR,2013,42.270041
BHR,2014,42.630149
BHR,2015,63.179821
BHR,2016,77.366286
BHR,2017,84.028773
BHR,2018,90.384437
BHR,2019,97.129391
BHR,2020,125.70038
BHR,2021,122.30013
BHR,2022,111.64764
BHR,2023,123.0203
BHR,2024,134.00745
BHS,1990,13.223338
BHS,1991,15.3901
BHS,1992,17.877775
BHS,1993,19.762785
BHS,1994,20.37925
BHS,1995,20.498401
BHS,1996,20.231567
BHS,1997,20.847561
BHS,1998,20.030628
BHS,1999,18.665638
BHS,2000,18.710023
BHS,2001,18.211667
BHS,2002,18.818502
BHS,2003,20.85355
BHS,2004,21.399179
BHS,2005,22.042563
BHS,2006,22.777451
BHS,2007,22.990851
BHS,2008,25.455505
BHS,2009,30.90927
BHS,2010,33.692266
BHS,2011,35.306439
BHS,2012,36.449504
BHS,2013,45.108613
BHS,2014,47.021156
BHS,2015,49.155654
BHS,2016,51.636719
BHS,2017,54.345806
BHS,2018,61.61235
BHS,2019,60.479713
BHS,2020,85.191348
BHS,2021,89.430827
BHS,2022,83.666862
BHS,2023,79.696619
BHS,2024,77.791241
BIH,1998,54.397341
BIH,1999,56.038876
BIH,2000,34.599347
BIH,2001,35.127792
BIH,2002,31.118246
BIH,2003,27.563432
BIH,2004,25.486874
BIH,2005,24.861039
BIH,2006,20.576926
BIH,2007,18.168645
BIH,2008,30.321124
BIH,2009,36.368137
BIH,2010,42.20547
BIH,2011,40.940843
BIH,2012,43.557458
BIH,2013,43.754609
BIH,2014,47.140103
BIH,2015,46.375576
BIH,2016,44.87429
BIH,2017,38.615913
BIH,2018,34.89422
BIH,2019,33.168017
BIH,2020,37.098361
BIH,2021,35.61778
BIH,2022,31.01327
BIH,2023,31.587913
BIH,2024,32.752304
BLR,1994,31.527083
BLR,1995,50.839941
BLR,1996,10.348076
