country,year,disaster_count,total_damage_usd
DEU,2010,4,1438574000.0
DEU,2012,2,0.0
DEU,2013,4,23833977000.0
DEU,2014,2,530023000.0
DEU,2016,1,2613996000.0
DEU,2017,3,1150484000.0
DEU,2018,2,735138000.0
DEU,2019,3,0.0
DEU,2020,1,1333241000.0
DEU,2021,3,46306127000.0
DEU,2022,4,1096694000.0
DEU,2023,4,0.0
DEU,2024,2,4500000000.0
EGY,2000,1,0.0
EGY,2002,2,0.0
EGY,2004,1,0.0
EGY,2010,3,0.0
EGY,2015,2,0.0
EGY,2016,1,32675000.0
EGY,2020,1,92115000.0
EGY,2021,1,0.0
ETH,2000,4,0.0
ETH,2001,3,0.0
ETH,2002,1,0.0
ETH,2003,2,0.0
ETH,2005,5,9959000.0
ETH,2006,7,4979000.0
ETH,2007,2,0.0
ETH,2008,4,0.0
ETH,2009,1,0.0
ETH,2010,2,0.0
ETH,2011,2,0.0
ETH,2012,1,0.0
ETH,2013,1,2962000.0
ETH,2015,2,1852882000.0
ETH,2016,2,0.0
ETH,2018,2,45000.0
ETH,2019,2,0.0
ETH,2020,4,0.0
ETH,2021,2,0.0
ETH,2022,2,685999000.0
ETH,2023,2,0.0
ETH,2024,3,0.0
FRA,2000,6,0.0
FRA,2001,7,234469000.0
FRA,2002,4,2077017000.0
FRA,2003,6,10060867000.0
FRA,2004,1,0.0
FRA,2005,5,16063000.0
FRA,2006,3,0.0
FRA,2007,3,378226000.0
FRA,2008,2,116557000.0
FRA,2009,5,4678934000.0
FRA,2010,4,8243028000.0
FRA,2011,1,0.0
FRA,2012,1,0.0
FRA,2013,4,881992000.0
FRA,2014,7,642652000.0
FRA,2015,3,1222902000.0
FRA,2016,1,3136795000.0
FRA,2017,3,703856000.0
FRA,2018,7,1139294000.0
FRA,2019,10,509201000.0
FRA,2020,8,1236278000.0
FRA,2021,9,6521061000.0
FRA,2022,6,0.0
FRA,2023,7,1739847000.0
FRA,2024,5,0.0
GBR,2000,5,13513306000.0
GBR,2001,2,0.0
GBR,2002,5,697658000.0
GBR,2003,1,0.0
GBR,2004,1,159432000.0
GBR,2005,5,1124381000.0
GBR,2007,4,14596485000.0
GBR,2008,2,72848000.0
GBR,2009,3,707689000.0
GBR,2010,3,719000.0
GBR,2011,1,0.0
GBR,2012,4,4523743000.0
GBR,2013,5,2019829000.0
GBR,2014,2,959342000.0
GBR,2015,2,3176368000.0
GBR,2016,1,209120000.0
GBR,2017,2,0.0
GBR,2018,3,12492000.0
GBR,2019,3,0.0
GBR,2020,4,0.0
GBR,2021,1,0.0
GBR,2022,5,526656000.0
GBR,2023,2,0.0
GBR,2024,2,0.0
GHA,2001,1,0.0
GHA,2002,2,0.0
GHA,2007,1,0.0
GHA,2008,1,0.0
GHA,2009,2,0.0
GHA,2010,2,0.0
GHA,2011,2,0.0
GHA,2013,1,0.0
GHA,2015,1,15882000.0
GHA,2016,1,0.0
GHA,2017,2,0.0
GHA,2018,1,0.0
GHA,2019,2,0.0
GHA,2020,2,0.0
GHA,2021,2,0.0
GHA,2022,1,0.0
GHA,2023,2,0.0
HTI,2000,1,0.0
HTI,2001,2,35000.0
HTI,2002,2,1744000.0
HTI,2003,5,0.0
HTI,2004,3,84699000.0
HTI,2005,8,81116000.0
HTI,2006,3,0.0
HTI,2007,7,0.0
HTI,2008,4,0.0
HTI,2009,3,0.0
HTI,2010,5,0.0
HTI,2011,4,0.0
HTI,2012,5,347034000.0
HTI,2013,1,0.0
HTI,2014,2,2650000.0
HTI,2015,2,0.0
HTI,2016,8,2726398000.0
HTI,2017,5,0.0
HTI,2019,2,0.0
HTI,2020,1,0.0
HTI,2021,3,0.0
HTI,2022,2,0.0
HTI,2023,2,432388000.0
HTI,2024,5,0.0
IDN,2000,8,305309000.0
IDN,2001,7,35432000.0
IDN,2002,9,613165000.0
IDN,2003,13,8459000.0
IDN,2004,7,105458000.0
IDN,2005,6,8031000.0
IDN,2006,12,247793000.0
IDN,2007,10,1469029000.0
IDN,2008,13,2525000.0
IDN,2009,7,0.0
IDN,2010,8,112209000.0
IDN,2011,8,0.0
IDN,2012,11,1366000.0
IDN,2013,12,4047736000.0
IDN,2014,8,1229653000.0
IDN,2015,11,1634506000.0
IDN,2016,12,173831000.0
IDN,2017,10,43510000.0
IDN,2018,8,0.0
IDN,2019,14,1617172000.0
IDN,2020,26,35512000.0
IDN,2021,21,984006000.0
IDN,2022,13,79318000.0
IDN,2023,10,0.0
IDN,2024,14,20000000.0
IND,2000,12,2724284000.0
IND,2001,16,641179000.0
IND,2002,13,1677501000.0
IND,2003,16,1045298000.0
IND,2004,6,4610255000.0
IND,2005,25,10023054000.0
IND,2006,20,5275047000.0
IND,2007,20,569080000.0
IND,2008,11,247684000.0
IND,2009,16,3997565000.0
IND,2010,18,3091495000.0
IND,2011,12,2834597000.0
IND,2012,9,333371000.0
IND,2013,11,3039804000.0
IND,2014,16,31092460000.0
IND,2015,19,9196910000.0
IND,2016,15,3266189000.0
IND,2017,18,2709204000.0
IND,2018,23,7631494000.0
IND,2019,12,14490742000.0
IND,2020,11,32034157000.0
IND,2021,18,9041271000.0
IND,2022,7,4501868000.0
IND,2023,17,131775000.0
IND,2024,15,213300000.0
JPN,2000,4,17287500000.0
JPN,2001,5,2303062000.0
JPN,2002,6,44471000.0
JPN,2003,3,190985000.0
JPN,2004,11,28388113000.0
JPN,2005,4,1659266000.0
JPN,2006,5,3890153000.0
JPN,2007,5,1603677000.0
JPN,2008,2,0.0
JPN,2009,5,1462167000.0
JPN,2010,2,0.0
JPN,2011,5,3514265000.0
JPN,2012,7,2325951000.0
JPN,2013,9,299203000.0
JPN,2014,11,8850056000.0
JPN,2015,10,2157549000.0
JPN,2016,7,130700000.0
JPN,2017,4,2817983000.0
JPN,2018,5,33104477000.0
JPN,2019,9,32159388000.0
JPN,2020,4,7272227000.0
JPN,2021,4,2720484000.0
JPN,2022,6,3100930000.0
JPN,2023,5,0.0
JPN,2024,5,1300000000.0
KEN,2002,5,0.0
KEN,2003,2,0.0
KEN,2004,3,0.0
KEN,2005,4,803000.0
KEN,2006,4,0.0
